player_name,team,opp_pitcher,hr_prob,hr_score,hr_rk,drought_games,wb_prob,wb_score,wb_rk,exp_tb,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,combo_score,combo_rk,consensus_score,best_prop_target,rank
Jacob Gonzalez,Pittsburgh Pirates,Robbie Ray,6.5,13.0,124,7,5.9,11.9,128,1.23,61.3,127,48.8,48.8,132,1.07,42.7,125,32.7,⚾ High-Floor Value,143
Jonah Heim,Athletics,Zebby Matthews,6.5,12.9,126,20,17.9,35.8,15,0.97,48.3,162,42.2,42.2,160,0.81,32.3,165,32.7,⚾ High-Floor Value,144
Ezequiel Tovar,Colorado Rockies,Cade Cavalli,4.1,10.0,143,15,8.9,17.8,73,1.11,55.3,141,48.8,48.8,131,1.23,49.3,98,32.6,⚾ High-Floor Value,145
Nico Hoerner,Chicago Cubs,Merrill Kelly,3.3,10.0,164,16,6.8,13.5,116,1.1,54.9,144,57.1,57.1,44,1.13,45.2,115,32.4,⚾ High-Floor Value,146
Jase Bowen,San Diego Padres,Braxton Ashcraft,11.2,22.4,52,2,3.0,10.0,164,1.12,56.2,140,43.5,43.5,157,0.83,33.4,162,31.8,⚾ High-Floor Value,147
Cal Raleigh,Seattle Mariners,Zack Wheeler,9.8,19.6,84,2,4.7,10.0,165,1.24,62.0,122,36.8,36.8,171,0.95,37.8,148,31.8,⚾ High-Floor Value,148
Nick Fortes,Tampa Bay Rays,Framber Valdez,4.0,10.0,147,13,6.4,12.9,120,1.1,55.0,143,57.0,57.0,46,1.03,41.0,133,31.8,⚾ High-Floor Value,149
Evan Carter,Texas Rangers,TBD Pitcher,4.5,10.0,160,31,13.1,26.2,34,1.04,52.1,152,44.7,44.7,154,0.96,38.5,145,31.8,⚾ High-Floor Value,150
Jordan Beck,Colorado Rockies,Cade Cavalli,4.0,10.0,144,29,11.7,23.4,49,0.97,48.7,160,49.1,49.1,126,0.93,37.4,149,31.0,⚾ High-Floor Value,151
Jake Cronenworth,San Diego Padres,Braxton Ashcraft,4.4,10.0,167,6,3.2,10.0,150,1.18,59.0,134,52.9,52.9,96,0.92,36.8,151,30.9,⚾ High-Floor Value,152
Osleivis Basabe,San Francisco Giants,Chase Burns,4.0,10.0,180,16,11.8,23.6,48,1.02,50.8,155,48.7,48.7,134,0.7,27.9,170,30.3,⚾ High-Floor Value,153
Lars Nootbaar,Arizona Diamondbacks,Kevin Gausman,7.7,15.5,109,2,3.6,10.0,163,1.05,52.7,151,48.8,48.8,130,0.9,35.9,156,30.2,⚾ High-Floor Value,154
Héctor Rodríguez,Cincinnati Reds,TBD Pitcher,6.8,13.6,119,1,3.0,10.0,179,1.06,53.2,149,40.7,40.7,164,1.23,49.1,99,30.1,⚾ High-Floor Value,155
Darell Hernaiz,Athletics,Zebby Matthews,3.0,10.0,166,35,7.2,14.3,109,0.93,46.5,166,48.6,48.6,135,1.29,51.4,88,30.1,⚾ High-Floor Value,156
Luis Rengifo,San Diego Padres,Braxton Ashcraft,5.8,11.6,133,6,3.2,10.0,151,1.08,53.9,148,54.0,54.0,82,0.78,31.3,166,29.7,⚾ High-Floor Value,157
J.T. Realmuto,Philadelphia Phillies,Logan Gilbert,3.7,10.0,172,17,10.0,20.0,61,1.0,50.2,158,49.9,49.9,118,0.67,27.0,171,29.5,⚾ High-Floor Value,158
Jake Rogers,Chicago White Sox,Kumar Rocker,10.4,20.8,70,1,4.5,10.0,172,0.99,49.4,159,36.2,36.2,172,0.99,39.6,140,29.4,⚾ High-Floor Value,159
Brian Navarreto,Miami Marlins,Ranger Suarez,10.1,20.2,77,2,3.9,10.0,161,1.03,51.7,153,35.1,35.1,174,0.93,37.2,150,29.3,⚾ High-Floor Value,160
Adley Rutschman,Boston Red Sox,Sandy Alcantara,6.7,13.4,121,4,4.3,10.0,154,1.08,54.1,147,39.6,39.6,165,1.06,42.3,127,29.3,⚾ High-Floor Value,161
Javier Báez,Detroit Tigers,Drew Rasmussen,3.7,10.0,148,20,8.3,16.5,84,1.03,51.3,154,53.1,53.1,92,0.65,26.0,173,29.3,⚾ High-Floor Value,162
Danny Jansen,Texas Rangers,TBD Pitcher,7.9,15.8,105,10,8.1,16.3,86,0.94,47.2,164,35.1,35.1,176,1.08,43.3,122,29.2,⚾ High-Floor Value,163
Henry Davis,Pittsburgh Pirates,Robbie Ray,4.2,10.0,152,21,11.2,22.5,52,0.9,45.1,168,38.1,38.1,168,1.1,44.1,118,29.1,⚾ High-Floor Value,164
Christian Koss,San Francisco Giants,Chase Burns,3.0,10.0,178,34,7.1,14.1,110,0.93,46.6,165,48.3,48.3,137,1.01,40.2,138,28.7,⚾ High-Floor Value,165
Oswald Peraza,Los Angeles Angels,Parker Messick,4.6,10.0,157,45,15.0,29.9,24,0.85,42.3,170,41.9,41.9,161,0.56,22.4,175,28.1,⚾ High-Floor Value,166
Drew Cavanaugh,San Francisco Giants,Chase Burns,3.0,10.0,177,32,6.9,13.8,112,0.84,42.1,171,48.2,48.2,138,1.04,41.5,131,27.8,⚾ High-Floor Value,167
Jared Triolo,Pittsburgh Pirates,Robbie Ray,5.1,10.2,140,9,3.9,10.0,142,0.97,48.7,161,49.5,49.5,122,0.85,33.8,160,27.7,⚾ High-Floor Value,168
Billy Cook,Pittsburgh Pirates,Robbie Ray,3.0,10.0,151,25,6.2,12.3,126,0.94,47.2,163,43.9,43.9,156,0.99,39.5,141,27.7,⚾ High-Floor Value,169
Braxton Fulford,Colorado Rockies,Cade Cavalli,3.5,10.0,142,32,9.9,19.8,63,0.9,45.0,169,36.9,36.9,170,0.92,36.7,153,27.4,⚾ High-Floor Value,170
Ke'Bryan Hayes,Cincinnati Reds,TBD Pitcher,6.2,12.4,128,6,4.4,10.0,152,0.93,46.4,167,41.7,41.7,162,0.74,29.6,168,26.1,⚾ High-Floor Value,171
Luisangel Acuña,Chicago White Sox,Kumar Rocker,3.0,10.0,161,25,6.2,12.3,125,0.76,38.2,173,47.5,47.5,141,0.75,30.1,167,25.1,⚾ High-Floor Value,172
Christian Moore,Los Angeles Angels,Parker Messick,3.0,10.0,162,8,3.7,10.0,143,0.84,42.1,172,42.2,42.2,159,0.73,29.3,169,24.5,⚾ High-Floor Value,173
Buddy Kennedy,San Francisco Giants,Chase Burns,3.0,10.0,179,18,5.3,10.6,133,0.67,33.3,175,38.1,38.1,167,0.83,33.3,163,22.5,⚾ High-Floor Value,174
Patrick Wisdom,Seattle Mariners,Zack Wheeler,6.0,12.0,131,8,4.9,10.0,145,0.72,35.8,174,35.1,35.1,179,0.5,20.0,180,21.5,⚾ High-Floor Value,175
Leo Rivas,Seattle Mariners,Zack Wheeler,3.0,10.0,173,42,7.8,15.5,101,0.6,30.0,176,37.0,37.0,169,0.5,20.0,178,21.1,⚾ High-Floor Value,176
Ivan Johnson,Cincinnati Reds,TBD Pitcher,3.0,10.0,176,7,3.5,10.0,146,0.5,25.0,180,35.1,35.1,180,0.6,24.2,174,19.0,⚾ High-Floor Value,177
Gabriel Arias,Chicago Cubs,Merrill Kelly,3.0,10.0,155,16,5.0,10.1,136,0.5,25.0,178,35.1,35.1,177,0.55,22.1,176,18.8,⚾ High-Floor Value,178
Garrett Stubbs,Philadelphia Phillies,Logan Gilbert,3.0,10.0,171,16,5.0,10.1,137,0.5,25.0,179,35.6,35.6,173,0.5,20.0,179,18.6,⚾ High-Floor Value,179
Ryan Ritter,Colorado Rockies,Cade Cavalli,3.8,10.0,149,6,3.2,10.0,148,0.5,25.0,177,35.1,35.1,175,0.5,20.0,177,18.5,⚾ High-Floor Value,180
